Ocean_blue,Blue,Green1,Green,Yellow,Red,RedEdge,NIR,NDVI,GNDVI,EVI,SAVI,NDRE,MSAVI,DVI,RVI,ARVI,VARI,TVI,GEMI,PC_Ocean_blue,PC_Blue,PC_Green1,PC_Green,PC_Yellow,PC_Red,PC_RedEdge,PC_NIR,PC_NDVI,PC_GNDVI,PC_EVI,PC_SAVI,PC_NDRE,PC_MSAVI,PC_DVI,PC_RVI,PC_ARVI,PC_VARI,PC_TVI,PC_GEMI,VV,VH,VV/VH,VH/VV,VV-VH,(VV+VH)/2,VH-VV,TanDEM Canopy height (m),AGB(kg/9 sq.m)
168,259,457,616,467,358,1074,3362,0.807526882,0.690296631,2.104525711,1.211127537,0.515779982,0.893501613,3004,9.391061453,0.760670333,0.360839161,190560,-9019799.154,49069.64453,-921.402832,79.85784912,-109.4111099,29.9488945,-7.415575504,30.03380585,-21.17449951,6945467,12780.53516,6396.73291,-2.813976765,-1.501563191,0.022603251,-0.048857436,-0.008586277,0.005496172,0.002511446,0.000216143,1.26E-08,-8.33466,-16.7864,0.496512,2.01405,8.45176,-12.5605,-8.45176,3.91269,19.87884
154,261,463,625,504,360,1115,3530,0.814910026,0.699157641,2.122673095,1.222207942,0.519913886,0.898004024,3170,9.805555556,0.769867135,0.366022099,200800,-10044438.44,49161.05859,-1066.172974,111.3901367,-87.26783752,34.08110046,-14.37164211,3.106096983,-23.07737923,7970063,23332.80859,14956.49316,17.16112709,-1.077218533,-0.038205601,-0.037410069,-0.008814285,0.00417877,0.002001855,0.00021401,6.95E-09,-8.63866,-15.3872,0.56142,1.7812,6.74851,-12.0129,-6.74851,4.07141,60.44436
176,268,481,611,513,425,1028,2869,0.74195507,0.648850575,1.791788856,1.112763697,0.472414678,0.851842766,2444,6.750588235,0.662706462,0.2421875,154080,-5969785.31,48923.72656,-443.4319458,58.10189056,-80.67684174,0.123993047,0.80286479,32.2909584,1.415213823,3895447,-16280.66895,-13564.59766,-27.64172554,-1.001389742,0.115326457,0.018533004,0.006240645,0.001964991,-0.005966927,9.20E-05,-1.15E-09,-8.33426,-13.7846,0.604605,1.65397,5.45038,-11.0594,-5.45038,2.50426,9.86436
212,330,518,655,596,522,964,2503,0.654876033,0.585180494,1.566751028,0.98215171,0.443899625,0.791417284,1981,4.795019157,0.556108175,0.157024793,124180,-3921731.221,48891.89453,-42.86222458,53.64076233,-76.94816589,31.22687531,11.45580482,22.05310249,-8.871541023,1847274.125,-33678.22266,-21996.85742,-40.74531555,-0.470716596,0.06914977,0.0704327,-0.007408667,-0.005048891,-0.004419123,0.000119654,3.28E-11,-11.0759,-17.5282,0.631891,1.58255,6.45229,-14.302,-6.45229,2.5159,23.84919
184,290,546,718,663,503,1102,2835,0.698621929,0.595834506,1.584669747,1.047775947,0.44018288,0.822549213,2332,5.636182903,0.596733315,0.230934479,148520,-5435077.333,49088.74609,-337.0865784,152.2490845,-37.12511826,-32.97915268,5.122653484,0.912270367,-4.608997822,3360755.5,-21702.54492,-17832.30469,-59.80625916,0.184394166,0.210067213,0.004849029,-0.001047814,-0.015201148,-0.007105637,8.11E-05,-8.67E-09,-8.94591,-15.7167,0.569197,1.75686,6.7708,-12.3313,-6.7708,2.56164,12.08133
163,301,572,758,681,510,1292,2992,0.708737864,0.595733333,1.634830721,1.062955032,0.396825397,0.829521822,2482,5.866666667,0.612503368,0.256463289,158840,-6156962.395,49242.80859,-476.2232971,168.2304077,26.21938133,-147.9212799,-51.42085266,14.69442177,-3.522544622,4082679.75,-15484.51953,-14658.5332,-64.70974731,0.698901951,0.184041679,-0.031275563,0.031672355,-0.008919274,-0.006018188,9.73E-05,-3.00E-08,-8.83706,-15.3424,0.57599,1.73614,6.50532,-12.0897,-6.50532,1.88554,5.09499
198,263,518,713,598,412,1262,3321,0.779266006,0.64650471,1.903048541,1.168742467,0.449269038,0.875924619,2909,8.060679612,0.710973725,0.349187935,186580,-8458238.582,49253.92188,-828.9190674,136.7002563,-36.69622421,-111.1789932,-4.198097706,16.85301971,-17.22261047,6383964.5,6358.166016,204.4091797,-45.11349869,0.028894827,0.116642617,-0.054236047,0.020078862,-0.005283886,-0.00143718,0.00016406,1.05E-09,-6.89827,-16.0848,0.428868,2.33172,9.18656,-11.4915,-9.18656,2.65818,15.97698
237,384,629,792,747,658,1239,3185,0.657559199,0.601709832,1.485072873,0.986210485,0.439873418,0.793380859,2527,4.840425532,0.547243138,0.125703565,156980,-6382371.052,49457.09375,-563.0031128,165.266983,35.71932602,21.96798134,-25.43485069,15.48043633,-1.902376294,4307982.5,-11552.80469,-8993.200195,17.0617485,1.91641593,0.0343601,0.042876802,-0.00912885,-0.005968299,-0.007664918,7.28E-05,-4.25E-08,-7.98802,-15.1382,0.527674,1.89511,7.15016,-11.5631,-7.15016,2.73772,22.66326
273,299,559,716,620,461,1140,3126,0.742960691,0.62727746,1.825092453,1.114285714,0.465541491,0.85250708,2665,6.780911063,0.667644705,0.290432802,170100,-7098569.985,49217.62109,-608.5935059,103.8908157,-94.46183777,-25.56855583,45.30912018,16.87088966,1.534749985,5024286.5,-6511.909668,-8494.213867,-46.89515305,0.335169166,0.071949869,-0.007388844,0.002771765,-0.006338622,0.000152535,0.000177946,5.77E-09,-8.59539,-16.3375,0.526114,1.90073,7.74212,-12.4665,-7.74212,2.67724,6.37578
252,291,487,610,560,452,975,2889,0.729422329,0.651328951,1.78169323,1.093969774,0.495341615,0.843521635,2437,6.39159292,0.649914335,0.204928664,152540,-5935643.162,48974.48828,-429.4368591,37.13603973,-105.5931396,61.96660233,64.07683563,4.015250683,-3.922051191,3861280,-16162.8418,-12747.25879,-9.693368912,-0.643268108,0.041347221,0.052936472,-0.01217413,0.004067772,-0.006094408,8.92E-05,-6.61E-09,-9.82243,-16.6474,0.590027,1.69484,6.82499,-13.2349,-6.82499,2.82079,16.82748
